
symbol,price,volume,time
AAPL,209.315,24859347,2025-07-14 18:57:07.276459
AAPL,209.31,24863472,2025-07-14 18:57:17.130876
AAPL,209.2848,24869562,2025-07-14 18:57:27.008437
AAPL,209.28,24875165,2025-07-14 18:57:36.925017
AAPL,209.28,24888398,2025-07-14 18:57:46.887314
AAPL,209.2814,24892075,2025-07-14 18:57:56.815356
AAPL,209.3099,24898550,2025-07-14 18:58:06.738301
AAPL,210.16,47148580,2025-07-16 21:01:22.939253
AAPL,210.16,47148580,2025-07-16 21:01:33.489295
AAPL,210.16,47148580,2025-07-16 21:01:43.479338
AAPL,210.16,47148580,2025-07-16 21:01:53.348066
AAPL,210.16,47148580,2025-07-16 21:02:03.212879
AAPL,210.16,47148580,2025-07-16 21:02:13.108982
AAPL,210.16,47148580,2025-07-16 21:02:23.054245
AAPL,210.16,47148580,2025-07-16 21:02:33.014533
AAPL,210.16,47148580,2025-07-16 21:02:42.930263
AAPL,210.16,47148580,2025-07-16 21:02:52.800774
AAPL,210.16,47148580,2025-07-16 21:03:02.692346
AAPL,210.16,47148580,2025-07-16 21:03:12.597266
AAPL,210.16,47148580,2025-07-16 21:03:22.446320
AAPL,210.16,47148580,2025-07-16 21:03:32.299588
AAPL,210.16,47148580,2025-07-16 21:03:42.140319
AAPL,210.16,47148580,2025-07-16 21:03:51.984643
AAPL,210.16,47148580,2025-07-16 21:04:01.887208
AAPL,210.16,47148580,2025-07-16 21:04:11.848655
AAPL,210.16,47148580,2025-07-16 21:04:21.779250
AAPL,210.16,47148580,2025-07-16 21:04:31.716920
AAPL,210.16,47148580,2025-07-16 21:04:41.587053
AAPL,210.16,47148580,2025-07-16 21:04:51.491780
AAPL,210.16,47148580,2025-07-16 21:05:01.498572
AAPL,210.16,47148580,2025-07-16 21:05:11.477046
AAPL,210.16,47148580,2025-07-16 21:05:21.360093
AAPL,210.16,47148580,2025-07-16 21:05:31.212840
AAPL,210.16,47148580,2025-07-16 21:05:41.079549
AAPL,210.16,47148580,2025-07-16 21:05:50.954317
AAPL,210.16,47148580,2025-07-16 21:06:00.812835
AAPL,210.16,47148580,2025-07-16 21:06:11.236101
AAPL,210.16,47148580,2025-07-16 21:06:21.100041
AAPL,210.16,47148580,2025-07-16 21:15:47.527317
AAPL,210.16,47148580,2025-07-16 21:15:57.990882
AAPL,210.16,47148580,2025-07-16 21:16:07.848907
